大分類,中分類,小分類,細分類,職業コード,職業
A 管理的職業
,,175 司法書士,,175,司法書士
,,,175-01 司法書士,175-01,司法書士
,,179 その他の法務の職業,,179,その他の法務の職業
,,,179-01 土地家屋調査士,179-01,土地家屋調査士
,,,179-99 他に分類されない法務の職業,179-99,他に分類されない法務の職業
,18 経営・金融・保険の専門的職業,,,18,経営・金融・保険の専門的職業
,,181 公認会計士,,181,公認会計士
,,,181-01 公認会計士,181-01,公認会計士
,,182 税理士,,182,税理士
,,,182-01 税理士,182-01,税理士
,,183 社会保険労務士,,183,社会保険労務士
,,,183-01 社会保険労務士,183-01,社会保険労務士
,,184 金融・保険専門職,,184,金融・保険専門職
,,,184-01 金融・保険専門職,184-01,金融・保険専門職
,,189 その他の経営・金融・保険の専門的職業,,189,その他の経営・金融・保険の専門的職業
,,,189-01 経営コンサルタント,189-01,経営コンサルタント
,,,189-99 他に分類されない経営・金融・保険の専門的職業,189-99,他に分類されない経営・金融・保険の専門的職業
,19 教育の職業,,,19,教育の職業
,,191 幼稚園教員,,191,幼稚園教員
,,,191-01 幼稚園教員,191-01,幼稚園教員
,,192 小学校教員,,192,小学校教員
,,,192-01 小学校教員,192-01,小学校教員
,,193 中学校教員,,193,中学校教員
,,,193-01 中学校教員,193-01,中学校教員
,,194 高等学校教員,,194,高等学校教員
,,,194-01 高等学校教員,194-01,高等学校教員
,,195 中等教育学校教員,,195,中等教育学校教員
,,,195-01 中等教育学校教員,195-01,中等教育学校教員
,,196 特別支援学校教員,,196,特別支援学校教員
,,,196-01 特別支援学校教員,196-01,特別支援学校教員
,,197 高等専門学校教員,,197,高等専門学校教員
,,,197-01 高等専門学校教員,197-01,高等専門学校教員
,,198 大学教員,,198,大学教員
,,,198-01 大学教員,198-01,大学教員
,,199 その他の教育の職業,,199,その他の教育の職業
,,,199-01 専修学校教員,199-01,専修学校教員
,,,199-02 各種学校教員,199-02,各種学校教員
,,,199-03 職業訓練指導員,199-03,職業訓練指導員
,,,199-04 研修施設教員,199-04,研修施設教員
,,,199-99 他に分類されない教育の職業,199-99,他に分類されない教育の職業
,20 宗教家,,,20,宗教家
,,201 宗教家,,201,宗教家
,,,201-01 宗教家,201-01,宗教家
,21 著述家、記者、編集者,,,21,著述家、記者、編集者
,,211 著述家,,211,著述家
,,,211-01 文芸家,211-01,文芸家
,,,211-02 翻訳家,211-02,翻訳家
,,,211-03 コピーライター,211-03,コピーライター
,,,211-99 他に分類されない著述家,211-99,他に分類されない著述家
,,212 記者,,212,記者
,,,212-01 新聞・放送記者,212-01,新聞・放送記者
,,,212-02 雑誌記者,212-02,雑誌記者
,,,212-03 テクニカルライター,212-03,テクニカルライター
,,,212-99 他に分類されない記者,212-99,他に分類されない記者
,,213 編集者,,213,編集者
,,,213-01 新聞・雑誌・図書編集者,213-01,新聞・雑誌・図書編集者
,,,213-99 他に分類されない編集者,213-99,他に分類されない編集者
,22 美術家、デザイナー、写真家、映像撮影者,,,22,美術家、デザイナー、写真家、映像撮影者
,,221 彫刻家,,221,彫刻家
,,,221-01 彫刻家,221-01,彫刻家
,,222 画家、書家、漫画家,,222,画家、書家、漫画家
,,,222-01 画家、書家,222-01,画家、書家
,,,222-02 漫画家、イラストレーター,222-02,漫画家、イラストレーター
,,223 工芸美術家,,223,工芸美術家
,,,223-01 工芸美術家,223-01,工芸美術家
,,224 デザイナー,,224,デザイナー
,,,224-01 グラフィックデザイナー,224-01,グラフィックデザイナー
,,,224-02 ウェブデザイナー,224-02,ウェブデザイナー
,,,224-03 ディスプレーデザイナー,224-03,ディスプレーデザイナー
,,,224-04 工業デザイナー,224-04,工業デザイナー
,,,224-05 インテリアデザイナー,224-05,インテリアデザイナー
,,,224-06 服飾デザイナー,224-06,服飾デザイナー
,,,224-99 他に分類されないデザイナー,224-99,他に分類されないデザイナー
,,225 写真家、映像撮影者,,225,写真家、映像撮影者
,,,225-01 写真家,225-01,写真家
,,,225-02 映像撮影者,225-02,映像撮影者
,,,225-98 写真家助手、映像撮影者助手,225-98,写真家助手、映像撮影者助手
,23 音楽家、舞台芸術家,,,23,音楽家、舞台芸術家
,,231 音楽家,,231,音楽家
,,,231-01 音楽家,231-01,音楽家
,,232 舞踊家,,232,舞踊家
,,,232-01 舞踊家,232-01,舞踊家
,,233 俳優,,233,俳優
,,,233-01 俳優,233-01,俳優
,,234 プロデューサー、演出家,,234,プロデューサー、演出家
,,,234-01 プロデューサー,234-01,プロデューサー
,,,234-02 演出家,234-02,演出家
,,235 演芸家,,235,演芸家
,,,235-01 演芸家,235-01,演芸家
,24 その他の専門的職業,,,24,その他の専門的職業
,,241 図書館司書,,241,図書館司書
,,,241-01 図書館司書,241-01,図書館司書
,,242 学芸員,,242,学芸員
,,,242-01 学芸員,242-01,学芸員
,,243 カウンセラー（医療・福祉施設を除く）,,243,カウンセラー（医療・福祉施設を除く）
,,,243-01 学生カウンセラー,243-01,学生カウンセラー
,,,243-02 職場カウンセラー,243-02,職場カウンセラー
,,,243-03 職業相談員,243-03,職業相談員
,,,243-99 他に分類されないカウンセラー（医療・福祉施設を除く）,243-99,他に分類されないカウンセラー（医療・福祉施設を除く）
,,244 個人教師,,244,個人教師
,,,244-01 教科学習補習教師,244-01,教科学習補習教師
,,,244-02 パーソナルコンピュータ教室教師,244-02,パーソナルコンピュータ教室教師
,,,244-03 スポーツ個人教師,244-03,スポーツ個人教師
,,,244-99 他に分類されない個人教師,244-99,他に分類されない個人教師
,,245 職業スポーツ家,,245,職業スポーツ家
,,,245-01 職業スポーツ家,245-01,職業スポーツ家
,,246 通信機器操作員,,246,通信機器操作員
,,,246-01 無線通信員,246-01,無線通信員
,,,246-02 無線技術員,246-02,無線技術員
,,,246-03 有線通信員,246-03,有線通信員
,,,246-99 他に分類されない通信機器操作員,246-99,他に分類されない通信機器操作員
,,249 他に分類されない専門的職業,,249,他に分類されない専門的職業
,,,249-01 行政書士,249-01,行政書士
,,,249-02 不動産鑑定士,249-02,不動産鑑定士
,,,249-03 ラジオ・テレビアナウンサー,249-03,ラジオ・テレビアナウンサー
,,,249-04 通訳,249-04,通訳
,,,249-05 速記者,249-05,速記者
,,,249-06 調律師,249-06,調律師
,,,249-07 調教師,249-07,調教師
,,,249-08 通関士,249-08,通関士
,,,249-99 他に分類されないその他の専門的職業,249-99,他に分類されないその他の専門的職業
大分類,中分類,小分類,細分類,職業コード,職業
C 事務的職業
,25 一般事務の職業,,,25,一般事務の職業
,,251 総務事務員,,251,総務事務員
,,,251-01 総務事務員,251-01,総務事務員
,,252 人事事務員,,252,人事事務員
,,,252-01 人事係事務員,252-01,人事係事務員
,,,252-02 教育・研修係事務員,252-02,教育・研修係事務員
,,253 企画・調査事務員,,253,企画・調査事務員
,,,253-01 企画係事務員（商品企画を除く）,253-01,企画係事務員（商品企画を除く）
,,,253-02 商品企画事務員,253-02,商品企画事務員
,,,253-03 調査事務員,253-03,調査事務員
,,254 受付・案内事務員,,254,受付・案内事務員
,,,254-01 会社・団体受付係,254-01,会社・団体受付係
,,,254-99 他に分類されない受付・案内事務員,254-99,他に分類されない受付・案内事務員
,,255 秘書,,255,秘書
,,,255-01 秘書,255-01,秘書
,,256 電話応接事務員,,256,電話応接事務員
,,,256-01 電話交換手,256-01,電話交換手
,,,256-02 コールセンターオペレーター,256-02,コールセンターオペレーター
,,,256-03 テレフォンアポインター,256-03,テレフォンアポインター
,,,256-99 他に分類されない電話応接事務員,256-99,他に分類されない電話応接事務員
,,257 総合事務員,,257,総合事務員
,,,257-01 総合事務員,257-01,総合事務員
,,,257-97 事務補助員,257-97,事務補助員
,,258 医療・介護事務員,,258,医療・介護事務員
,,,258-01 医療事務員,258-01,医療事務員
,,,258-02 介護事務員,258-02,介護事務員
,,259 その他の一般事務の職業,,259,その他の一般事務の職業
,,,259-01 通信販売受付事務員（電話を除く）,259-01,通信販売受付事務員（電話を除く）
,,,259-02 診療情報管理係事務員,259-02,診療情報管理係事務員
,,,259-99 他に分類されない一般事務の職業,259-99,他に分類されない一般事務の職業
,26 会計事務の職業,,,26,会計事務の職業
,,261 現金出納事務員,,261,現金出納事務員
,,,261-01 現金出納事務員,261-01,現金出納事務員
,,262 銀行等窓口事務員,,262,銀行等窓口事務員
,,,262-01 銀行等窓口事務員,262-01,銀行等窓口事務員
,,263 経理事務員,,263,経理事務員
,,,263-01 経理事務員,263-01,経理事務員
,,269 その他の会計事務の職業,,269,その他の会計事務の職業
,,,269-01 予算係事務員,269-01,予算係事務員
,,,269-02 用度係事務員,269-02,用度係事務員
,,,269-03 原価計算・見積事務員,269-03,原価計算・見積事務員
,,,269-99 他に分類されない会計事務の職業,269-99,他に分類されない会計事務の職業
,27 生産関連事務の職業,,,27,生産関連事務の職業
,,271 生産現場事務員,,271,生産現場事務員
,,,271-01 生産・工程管理事務員,271-01,生産・工程管理事務員
,,,271-99 他に分類されない生産現場事務員,271-99,他に分類されない生産現場事務員
,,272 出荷・受荷係事務員,,272,出荷・受荷係事務員
,,,272-01 クリーニング等受入係員,272-01,クリーニング等受入係員
,,,272-02 検収・検品係員,272-02,検収・検品係員
,,,272-03 保管・管理係員,272-03,保管・管理係員
,,,272-04 出荷・発送係員,272-04,出荷・発送係員
,28 営業・販売関連事務の職業,,,28,営業・販売関連事務の職業
,,281 営業・販売事務員,,281,営業・販売事務員
,,,281-01 仕入係事務員,281-01,仕入係事務員
,,,281-02 販売係事務員,281-02,販売係事務員
,,,281-03 営業事務員,281-03,営業事務員
,,,281-04 貿易事務員,281-04,貿易事務員
,,,281-05 金融・保険事務員,281-05,金融・保険事務員
,,289 その他の営業・販売関連事務の職業,,289,その他の営業・販売関連事務の職業
,,,289-99 その他の営業・販売関連事務の職業,289-99,その他の営業・販売関連事務の職業
,29 外勤事務の職業,,,29,外勤事務の職業
,,291 集金人,,291,集金人
,,,291-01 集金人,291-01,集金人
,,292 訪問調査員,,292,訪問調査員
,,,292-01 訪問調査員,292-01,訪問調査員
,,299 その他の外勤事務の職業,,299,その他の外勤事務の職業
,,,299-01 検針員,299-01,検針員
,,,299-99 他に分類されない外勤事務の職業,299-99,他に分類されない外勤事務の職業
,30 運輸・郵便事務の職業,,,30,運輸・郵便事務の職業
,,301 旅客・貨物係事務員,,301,旅客・貨物係事務員
,,,301-01 運輸出改札・旅客係,301-01,運輸出改札・旅客係
,,,301-02 有料道路料金収受員,301-02,有料道路料金収受員
,,,301-03 貨物受付事務員,301-03,貨物受付事務員
,,302 運行管理事務員,,302,運行管理事務員
,,,302-01 鉄道運行管理事務員,302-01,鉄道運行管理事務員
,,,302-02 貨物自動車運行管理事務員,302-02,貨物自動車運行管理事務員
,,,302-03 旅客自動車運行管理事務員,302-03,旅客自動車運行管理事務員
,,,302-04 船舶運航管理事務員,302-04,船舶運航管理事務員
,,,302-05 航空運航管理事務員,302-05,航空運航管理事務員
,,303 郵便事務員,,303,郵便事務員
,,,303-01 郵便窓口事務員,303-01,郵便窓口事務員
,,,303-02 郵便内務事務員,303-02,郵便内務事務員
,31 事務用機器操作の職業,,,31,事務用機器操作の職業
,,311 パーソナルコンピュータ操作員,,311,パーソナルコンピュータ操作員
,,,311-01 パーソナルコンピュータ操作員,311-01,パーソナルコンピュータ操作員
,,312 データ入力係員,,312,データ入力係員
,,,312-01 データ入力係員,312-01,データ入力係員
,,313 コンピュータ操作員（パーソナルコンピュータを除く）,,313,コンピュータ操作員（パーソナルコンピュータを除く）
,,,313-01 コンピュータ操作員（パーソナルコンピュータを除く）,313-01,コンピュータ操作員（パーソナルコンピュータを除く）
,,319 その他の事務用機器操作の職業,,319,その他の事務用機器操作の職業
,,,319-99 その他の事務用機器操作の職業,319-99,その他の事務用機器操作の職業
大分類,中分類,小分類,細分類,職業コード,職業
D 販売の職業
,32 商品販売の職業,,,32,商品販売の職業
,,321 小売店主・店長,,321,小売店主・店長
,,,321-01 コンビニエンスストア店長,321-01,コンビニエンスストア店長
,,,321-02 ガソリンスタンド支配人,321-02,ガソリンスタンド支配人
,,,321-99 他に分類されない小売店主・店長,321-99,他に分類されない小売店主・店長
,,322 卸売店主・店長,,322,卸売店主・店長
,,,322-01 卸売店主・店長,322-01,卸売店主・店長
,,323 小売店販売員,,323,小売店販売員
,,,323-01 レジ係,323-01,レジ係
,,,323-02 百貨店・スーパーマーケット販売店員,323-02,百貨店・スーパーマーケット販売店員
,,,323-03 コンビニエンスストア店員,323-03,コンビニエンスストア店員
,,,323-04 衣服・身の回り品販売店員,323-04,衣服・身の回り品販売店員
,,,323-05 飲食料品販売店員,323-05,飲食料品販売店員
,,,323-06 自動車販売店員,323-06,自動車販売店員
,,,323-07 電気機器販売店員,323-07,電気機器販売店員
,,,323-08 医薬品・化粧品販売店員,323-08,医薬品・化粧品販売店員
,,,323-09 ガソリンスタンド販売員,323-09,ガソリンスタンド販売員
,,,323-99 他に分類されない小売店販売員,323-99,他に分類されない小売店販売員
,,324 卸売・商品実演販売員,,324,卸売・商品実演販売員
,,,324-01 卸売販売員,324-01,卸売販売員
,,,324-02 商品実演販売員,324-02,商品実演販売員
,,325 商品訪問・移動販売員,,325,商品訪問・移動販売員
,,,325-01 商品訪問販売員,325-01,商品訪問販売員
,,,325-02 移動販売員,325-02,移動販売員
,,,325-03 露店販売員,325-03,露店販売員
,,326 再生資源回収・卸売人,,326,再生資源回収・卸売人
,,,326-01 再生資源回収・卸売人,326-01,再生資源回収・卸売人
,,327 商品仕入営業員,,327,商品仕入営業員
,,,327-01 商品仕入営業員,327-01,商品仕入営業員
,33 販売類似の職業,,,33,販売類似の職業
,,331 不動産仲介・売買人,,331,不動産仲介・売買人
,,,331-01 不動産仲介・売買人,331-01,不動産仲介・売買人
,,332 保険代理人、保険仲立人,,332,保険代理人、保険仲立人
,,,332-01 保険代理人,332-01,保険代理人
,,,332-02 保険仲立人,332-02,保険仲立人
,,333 有価証券売買・仲立人、金融仲立人,,333,有価証券売買・仲立人、金融仲立人
,,,333-01 有価証券売買・仲立人,333-01,有価証券売買・仲立人
,,,333-02 金融仲立人,333-02,金融仲立人
,,334 質屋店主・店員,,334,質屋店主・店員
,,,334-01 質屋店主・店員,334-01,質屋店主・店員
,,339 その他の販売類似の職業,,339,その他の販売類似の職業
,,,339-01 商品仲立人,339-01,商品仲立人
,,,339-02 宝くじ等販売人,339-02,宝くじ等販売人
,,,339-03 競売人,339-03,競売人
,,,339-99 他に分類されない販売類似の職業,339-99,他に分類されない販売類似の職業
,34 営業の職業,,,34,営業の職業
,,341 飲食料品販売営業員,,341,飲食料品販売営業員
,,,341-01 飲食料品販売営業員,341-01,飲食料品販売営業員
,,342 化学品販売営業員（医薬品を除く）,,342,化学品販売営業員（医薬品を除く）
,,,342-01 化学品販売営業員（医薬品を除く）,342-01,化学品販売営業員（医薬品を除く）
,,343 医薬品営業員,,343,医薬品営業員
,,,343-01 医薬品営業員,343-01,医薬品営業員
,,344 機械器具販売営業員,,344,機械器具販売営業員
,,,344-01 一般機械器具販売営業員,344-01,一般機械器具販売営業員
,,,344-02 電気機械器具販売営業員,344-02,電気機械器具販売営業員
,,,344-03 自動車販売営業員,344-03,自動車販売営業員
,,,344-99 他に分類されない機械器具販売営業員,344-99,他に分類されない機械器具販売営業員
,,345 通信・情報システム営業員,,345,通信・情報システム営業員
,,,345-01 通信営業員,345-01,通信営業員
,,,345-02 情報システム営業員,345-02,情報システム営業員
,,346 金融・保険営業員,,346,金融・保険営業員
,,,346-01 銀行等渉外係,346-01,銀行等渉外係
,,,346-02 証券営業員,346-02,証券営業員
,,,346-03 保険営業員,346-03,保険営業員
,,347 不動産営業員,,347,不動産営業員
,,,347-01 不動産営業員,347-01,不動産営業員
,,349 その他の営業の職業,,349,その他の営業の職業
,,,349-01 旅行営業員,349-01,旅行営業員
,,,349-02 広告営業員,349-02,広告営業員
,,,349-03 製造受注営業員,349-03,製造受注営業員
,,,349-04 会員勧誘員,349-04,会員勧誘員
,,,349-05 新聞拡張員,349-05,新聞拡張員
,,,349-99 他に分類されない営業の職業,349-99,他に分類されない営業の職業
大分類,中分類,小分類,細分類,職業コード,職業
E サービスの職業
,35 家庭生活支援サービスの職業,,,35,家庭生活支援サービスの職業
,,351 家政婦（夫）、家事手伝,,351,家政婦（夫）、家事手伝
